源文件名,中文字符串,Chinese string
\KFCK\MyEnumHelper.cs,该类型对象不是枚举类型！,This type object is not an enumeration type!
\KFCK\MyEnumHelper.cs,该类型对象不是可自由组合的标记型枚举！,This type object is not a freely combinable tagged enumeration!
\KFCK\WellKnownConsts.cs,d' 天 'h' 小时 'm' 分钟',d' days' h' hours' m' minutes'
\KFCK\WellKnownConsts.cs,h' 小时 'm' 分钟 's' 秒',h' hours' m' minutes' s' seconds'
\KFCK\WellKnownModuleType.cs,模块类型,Module Type
\KFCK\WellKnownModuleType.cs,未设置,Not set
\KFCK\WellKnownModuleType.cs,控件,Controls
\KFCK\WellKnownModuleType.cs,服务,Serve
\KFCK\WellKnownServiceType.cs,服务类型,Service type
\KFCK\WellKnownServiceType.cs,未设置,Not set
\KFCK\WellKnownServiceType.cs,数据交换,Data Exchange
\KFCK\WellKnownServiceType.cs,远程控制,remote control
\KFCK\WellKnownServiceType.cs,生成报告,Generate Report
\KFCK\WellKnownServiceType.cs,设备控制,equipment control
\KFCK.CrashPrompt\Program.cs,严重错误,Serious error
\KFCK.DevExpress\ContainerBuilderExtensions.cs,不支持注册,Registration not supported
\KFCK.DevExpress\ContainerBuilderExtensions.cs,控件类型！,Control type!
\KFCK.DevExpress\ContainerBuilderExtensions.cs,不支持注册,Registration not supported
\KFCK.DevExpress\ContainerBuilderExtensions.cs,控件类型！,Control type!
\KFCK.DevExpress\ContainerBuilderExtensions.cs,不支持注册,Registration not supported
\KFCK.DevExpress\ContainerBuilderExtensions.cs,控件类型！,Control type!
\KFCK.DevExpress\ContainerBuilderExtensions.cs,不支持注册,Registration not supported
\KFCK.DevExpress\ContainerBuilderExtensions.cs,控件类型！,Control type!
\KFCK.DevExpress\CustomXtraUserControl.cs,验证错误,Validation Errors
\KFCK.DevExpress\Metadata.cs,查看授权,View authorization
\KFCK.DevExpress\Metadata.cs,查看软件授权状态。,View software licensing status.
\KFCK.DevExpress\Metadata.cs,日志查看器,Log Viewer
\KFCK.DevExpress\Metadata.cs,查看软件输出的日志信息。,View the log information output by the software.
\KFCK.DevExpress\Metadata.cs,配置编辑器,Configuration Editor
\KFCK.DevExpress\Metadata.cs,通过编辑软件的配置文件来影响软件的运行逻辑。,Affect the software's operating logic by editing the software's configuration files.
\KFCK.DevExpress\Metadata.cs,输入凭据,Enter your credentials
\KFCK.DevExpress\Metadata.cs,通过本界面录入凭据。,Enter your credentials through this interface.
\KFCK.DevExpress\Metadata.cs,修改密码,change Password
\KFCK.DevExpress\Metadata.cs,通过本界面修改密码。,Change the password through this interface.
\KFCK.DevExpress\Metadata.cs,设置密码,set password
\KFCK.DevExpress\Metadata.cs,通过本界面录入密码。,Enter the password through this interface.
\KFCK.DevExpress\Metadata.cs,权限管理,authority management
\KFCK.DevExpress\Metadata.cs,通过本界面管理高级权限。,Advanced permissions are managed through this interface.
\KFCK.DevExpress\Metadata.cs,日志文件查看器,Log File Viewer
\KFCK.DevExpress\Metadata.cs,查看软件输出的日志文件信息。,View the log file information output by the software.
\KFCK.DevExpress\Metadata.cs,出厂设置,Factory settings
\KFCK.DevExpress\Metadata.cs,便于软件在重新部署时快速设置配置。,This facilitates quick configuration setup when the software is redeployed.
\KFCK.DevExpress\Metadata.cs,配置导入导出工具,Configuration import and export tools
\KFCK.DevExpress\Metadata.cs,支持导入导出软件配置，从而能够快速完成软件横向部署。,"Supports importing and exporting software configurations, enabling rapid horizontal software deployment."
\KFCK.DevExpress\Metadata.cs,工厂LOGO,Factory Logo
\KFCK.DevExpress\Metadata.cs,用于展示厂商定制LOGO。,Used to display the manufacturer's customized LOGO.
\KFCK.DevExpress.Frontend\FrontendCustomXtraUserControl.cs,请先设置 , Please set first
\KFCK.DevExpress.Frontend\FrontendCustomXtraUserControl.cs, 字段后再发送异步验证请求！, Field and then send an asynchronous verification request!
\KFCK.DevExpress.Frontend\FrontendCustomXtraUserControl.cs,要异步验证的控件未注册！,The control to be validated asynchronously is not registered!
\KFCK.DevExpress.Frontend\FrontendCustomXtraUserControl.cs,请先设置 , Please set first
\KFCK.DevExpress.Frontend\FrontendCustomXtraUserControl.cs, 字段后再发送异步验证请求！, Field and then send an asynchronous verification request!
\KFCK.DevExpress.Frontend\FrontendCustomXtraUserControl.cs,验证错误,Validation Errors
\KFCK.DevExpress.Frontend\FrontendShell.cs,软件启动失败，后台服务未开启，请检查后台服务端口是否已被占用！,"The software failed to start, the background service is not started, please check whether the background service port is occupied!"
\KFCK.DevExpress.Frontend\FrontendShell.cs,检测到后台进程已退出,Detected that the background process has exited
\KFCK.DevExpress.Frontend\Metadata.cs,日志查看器,Log Viewer
\KFCK.DevExpress.Frontend\Metadata.cs,查看软件输出的日志信息。,View the log information output by the software.
\KFCK.DevExpress.Frontend\Metadata.cs,权限管理,authority management
\KFCK.DevExpress.Frontend\Metadata.cs,通过本界面管理高级权限。,Advanced permissions are managed through this interface.
\KFCK.DevExpress.Frontend\Metadata.cs,配置导入导出工具,Configuration import and export tools
\KFCK.DevExpress.Frontend\Metadata.cs,支持导入导出软件配置，从而能够快速完成软件横向部署。,"Supports importing and exporting software configurations, enabling rapid horizontal software deployment."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,"消息弹窗默认宽高，单位：像素，使用英文逗号隔开，如：800, 600 代表，宽为800像素，高为600像素。留空代表不更改默认宽高。","The default width and height of the message pop-up window, in pixels, separated by commas, such as: 800, 600 means the width is 800 pixels and the height is 600 pixels. Leaving it blank means not changing the default width and height."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,"警报弹窗默认宽高，单位：像素，使用英文逗号隔开，如：800, 600 代表，宽为800像素，高为600像素。留空代表不更改默认宽高。","The default width and height of the alert pop-up window, in pixels, separated by commas, such as 800, 600 means the width is 800 pixels and the height is 600 pixels. Leave it blank to keep the default width and height unchanged."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,严重警报时，是否允许人为关闭严重警报弹窗，是：True，否：False。,"In case of a critical alarm, whether to allow manual closing of the critical alarm pop-up window, yes: True, no: False."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,工厂自定义Logo（请将同名图片文件放在configs文件夹下）,Factory customized Logo (Please put the image file with the same name in the configs folder)
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,工厂名称（展示厂商LOGO的面板将以此名称命名）。,Factory name (the panel displaying the manufacturer's logo will be named after this name).
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,是否在校验用户权限时，自动显示用户列表，是：True，否：False。,"Whether to automatically display the user list when verifying user permissions, yes: True, no: False."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,扫码登录默认键入码超时时间，单位：毫秒，正整数。,"The default timeout for entering a QR code when scanning a QR code to log in is in milliseconds, a positive integer."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,在用户管理中设置用户密码时是否需要输入旧密码作为验证条件，是：True，否：False。,"When setting the user password in user management, whether it is necessary to enter the old password as a verification condition, yes: True, no: False."
\KFCK.DevExpress.Interfaces\UiSettings.cs,用户界面参数,User interface parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,是否检测用户活动，检测到用户活动后会自动重置自动登出倒计时时间，是：True，否：False。,"Whether to detect user activity. If user activity is detected, the automatic logout countdown time will be automatically reset. Yes: True, No: False."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,自动登出最小可设定的超时时间，单位：秒，自然数，0代表不限制。,"The minimum configurable timeout for automatic logout, in seconds, a natural number. 0 means no limit."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,自动登出最大可设定的超时时间，单位：秒，自然数，0代表不限制。,"The maximum configurable timeout for automatic logout, in seconds, a natural number. 0 means no limit."
\KFCK.DevExpress.Interfaces\UiSettings.cs,软件诊断,Software Diagnostics
\KFCK.DevExpress.Interfaces\UiSettings.cs,日志文件展示每次查询最多显示几天的数据，单位：天，正整数。,"The log file displays a maximum number of days of data for each query, in days, a positive integer."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,是否禁用自动关闭日志查看器功能，是：True，否：False。,"Whether to disable the automatic closing of the log viewer function, yes: True, no: False."
\KFCK.DevExpress.Interfaces\UiSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpress.Interfaces\UiSettings.cs,是否允许在软件内的任意界面扫码登录？是：True，否：False。,"Do you want to allow users to scan the QR code to log in from any interface in the software? Yes: True, No: False."
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,控件类型,Control Type
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,未设置,Not set
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,图,picture
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,选项,Options
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,选项项目,Options
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,数据表,data sheet
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,Ribbon菜单,Ribbon Menu
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,可停靠面板,Dockable panels
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,模态对话框,Modal Dialog Box
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,非模态窗口,Non-modal window
\KFCK.DevExpress.Interfaces\WellKnownControlType.cs,标签化文档,Tagged Documents
\KFCK.DevExpressChart\Chart2D.cs,位置,Location
\KFCK.DevExpressChart\Chart2D.cs,面密度,Areal density
\KFCK.DevExpressChart\Chart2D.cs,设置显示边界,Set display boundaries
\KFCK.DevExpressChart\Chart2D.cs,不支持的图表类型！,Unsupported chart type!
\KFCK.DevExpressChart\Chart2D.cs,默认名称,Default Name
\KFCK.DevExpressChart\ChartSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpressChart\ChartSettings.cs,是否显示图表控制线、规格线、中心线名称。,"Whether to display the names of chart control lines, specification lines, and center lines."
\KFCK.DevExpressChart\ChartSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpressChart\ChartSettings.cs,图表控制线、规格线、中心线名称。,"Names of chart control lines, specification lines, and center lines."
\KFCK.DevExpressChart\ChartSettings.cs,下限报警值,Lower alarm value
\KFCK.DevExpressChart\ChartSettings.cs,下限预警值,Lower limit warning value
\KFCK.DevExpressChart\ChartSettings.cs,标准值,standard value
\KFCK.DevExpressChart\ChartSettings.cs,上限预警值,Upper limit warning value
\KFCK.DevExpressChart\ChartSettings.cs,上限报警值,Upper limit alarm value
\KFCK.DevExpressChart\ChartSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpressChart\ChartSettings.cs,单线图表折线图是否使用平滑曲线，是：True，否：False。,"Whether the single-line chart uses a smooth curve, yes: True, no: False."
\KFCK.DevExpressChart\ChartSettings.cs,界面显示参数,Interface display parameters
\KFCK.DevExpressChart\ChartSettings.cs,设置图表上标记点的大小尺寸，单位：像素，正整数。,"Set the size of the marker points on the chart, unit: pixel, positive integer."
\KFCK.DevExpressChart\DataTableChart.cs,时间,time
\KFCK.DevExpressChart\DataTableChart.cs,均值,Mean
\KFCK.DevExpressChart\HeatMapChart2D.cs,扫描方向,Scan direction
\KFCK.DevExpressChart\HeatMapChart2D.cs,涂布方向,Coating direction
\KFCK.DevExpressChart\HeatMapChart2D.cs,设置显示边界,Set display boundaries
\KFCK.DevExpressChart\SetZoomRangeUserControl.cs,最小值不能大于最大值。,The minimum value cannot be greater than the maximum value.
\KFCK.DevExpressChart\SetZoomRangeUserControl.cs,最大值不能小于最小值。,The maximum value cannot be less than the minimum value.
\KFCK.DevExpressChart\SetZoomRangeUserControl.Designer.cs,最大,maximum
\KFCK.DevExpressChart\SetZoomRangeUserControl.Designer.cs,最小,Minimum
\KFCK.FPGA\AdOverSampling.cs,过采样模式,Oversampling Mode
\KFCK.FPGA\AdOverSampling.cs,无过采样,No oversampling
\KFCK.FPGA\AdOverSampling.cs,2x过采样,2x oversampling
\KFCK.FPGA\AdOverSampling.cs,4x过采样,4x oversampling
\KFCK.FPGA\AdOverSampling.cs,8x过采样,8x oversampling
\KFCK.FPGA\AdOverSampling.cs,16x过采样,16x oversampling
\KFCK.FPGA\AdOverSampling.cs,32x过采样,32x oversampling
\KFCK.FPGA\AdOverSampling.cs,64x过采样,64x oversampling
\KFCK.FPGA\AdRange.cs,量程,Range
\KFCK.FPGA\EncoderWorkMode.cs,无计数器,No counter
\KFCK.FPGA\EncoderWorkMode.cs,编码器 1X 计数模式,Encoder 1X counting mode
\KFCK.FPGA\EncoderWorkMode.cs,编码器 2X 计数模式,Encoder 2X counting mode
\KFCK.FPGA\EncoderWorkMode.cs,编码器 4X 计数模式,Encoder 4X counting mode
\KFCK.FPGA\FpgaConnector.cs,仅支持在设备断开连接时设置此参数,This parameter can only be set when the device is disconnected.
\KFCK.FPGA\FpgaConnector.cs,未断开连接，不能再次连接,"Not disconnected, cannot reconnect"
\KFCK.FPGA\FpgaConnector.cs,连接失败，已达到最大重试次数,"Connection failed, maximum number of retries reached"
\KFCK.FPGA\FpgaConnector.cs,打开USB设备失败,Failed to open USB device
\KFCK.FPGA\FpgaConnector.cs,恢复X编码器计数工作失败,Failed to restore X encoder count
\KFCK.FPGA\FpgaConnector.cs,恢复Y编码器计数工作失败,Failed to restore Y encoder counting
\KFCK.FPGA\FpgaConnector.cs,恢复Z编码器计数工作失败,Failed to restore Z encoder counting
\KFCK.FPGA\FpgaConnector.cs,启动连续读取信号失败,Failed to start continuous read signal
\KFCK.FPGA\FpgaConnector.cs,读取的数据数量与请求不一致,The amount of data read does not match the request
\KFCK.FPGA\FpgaConnector.cs,通讯错误,Communication Error
\KFCK.FPGA\FpgaConnector.cs,停止连续采集失败,Failed to stop continuous acquisition
\KFCK.FPGA\FpgaConnector.cs,读取输入端口状态失败,Failed to read input port status
\KFCK.FPGA\FpgaConnector.cs,读取输出端口状态失败,Failed to read output port status
\KFCK.FPGA\FpgaConnector.cs,设置输出端口高电平失败,Failed to set output port high level
\KFCK.FPGA\FpgaConnector.cs,设置输出端口低电平失败,Failed to set output port low level
\KFCK.FPGA\FpgaConnector.cs,写入输出端口状态失败,Failed to write output port status
\KFCK.FPGA\FpgaConnector.cs,断开设备超时！,Disconnect device timeout!
\KFCK.FPGA\FpgaConnector.cs,设置X编码器计数不工作且复位失败,Setting X encoder count does not work and reset fails
\KFCK.FPGA\FpgaConnector.cs,恢复X编码器计数工作失败,Failed to restore X encoder count
\KFCK.FPGA\FpgaConnector.cs,设置Y编码器计数不工作且复位失败,Setting the Y encoder count does not work and reset fails
\KFCK.FPGA\FpgaConnector.cs,恢复Y编码器计数工作失败,Failed to restore Y encoder counting
\KFCK.FPGA\FpgaConnector.cs,设置Z编码器计数不工作且复位失败,Setting the Z encoder count does not work and reset fails
\KFCK.FPGA\FpgaConnector.cs,恢复Z编码器计数工作失败,Failed to restore Z encoder counting
\KFCK.Klk23\Klk23ProtocolAdapter.cs,尝试读取未知的状态 {state}。,Attempted to read unknown state {state}.
\KFCK.Klk23\Klk23ProtocolAdapter.cs,尝试读取未知的参数 {parameter}。,Attempted to read unknown parameter {parameter}.
\KFCK.Klk23\Klk23ProtocolAdapter.cs,接收到的第一个字节不是帧头！,The first byte received is not the frame header!
\KFCK.Klk23\Klk23ProtocolAdapter.cs,接收数据校验失败！,Received data verification failed!
\KFCK.Klk23\Klk23ProtocolAdapter.cs,回应内容与请求内容不相关！,The response content is not related to the request content!
\KFCK.Klk23\Klk23ProtocolAdapter.cs,与KLK23进行一次通讯，发送命令为 {cmd}，参数为 {arg}，回应为 {parts[1]}。,"Communicate with KLK23, send command {cmd}, parameter {arg}, and response {parts[1]}."
\KFCK.Klk23\Klk23ProtocolAdapter.cs,设置的参数不正确！,The set parameters are incorrect!
\KFCK.Klk23\Klk23ProtocolAdapter.cs,发送命令不支持！,Send command not supported!
\KFCK.Klk23\Klk23ProtocolAdapter.cs,返回了未知的回应信息： {response}。,An unknown response was returned: {response}.
\KFCK.Klk23\Klk23ProtocolAdapter.cs,该枚举类型不包含指定的枚举值。,The enumeration type does not contain the specified enumeration value.
\KFCK.Klk23\Klk23ProtocolAdapter.cs,参数值不在合理范围内，合理范围为大于等于 {range.Minimum} 且小于等于 {range.Maximum}。,The parameter value is not within the reasonable range. The reasonable range is greater than or equal to {range.Minimum} and less than or equal to {range.Maximum}.
\KFCK.Klk23\Klk23ProtocolAdapter.cs,参数值不在合理范围内，合理范围为大于 {min.Value}。,The parameter value is not within the reasonable range. The reasonable range is greater than {min.Value}.
\KFCK.Klk23\Klk23ProtocolAdapter.cs, 或 , or
\KFCK.Klk23\Klk23ProtocolAdapter.cs,参数值不在合理范围内，合理范围为 , The parameter value is not within the reasonable range. The reasonable range is
\KFCK.Mcda\DeviceConnector.cs,仅支持在设备断开连接时设置此参数！,This parameter is only supported when the device is disconnected!
\KFCK.Mcda\DeviceConnector.cs,读取参数数据包包含了未知的参数组。,The read parameter data packet contained an unknown parameter group.
\KFCK.Mcda\DeviceConnector.cs,收到了未知的协议命令：{StringTools.ToHexString(bytes)}。,Received unknown protocol command: {StringTools.ToHexString(bytes)}.
\KFCK.Mcda\DeviceConnector.cs,当前参数组于当前参数Key类型无法对应。,The current parameter group does not correspond to the current parameter Key type.
\KFCK.Mcda\DeviceConnector.cs,当前参数组于当前参数Key类型无法对应。,The current parameter group does not correspond to the current parameter Key type.
\KFCK.Mcda\DeviceConnector.cs,未知的参数组。,Unknown parameter group.
\KFCK.Mcda\DeviceConnector.cs,配置参数-{parameterGroup.GetDisplayName()}-{parameterKey}-{parameterValue},Configuration parameters - {parameterGroup.GetDisplayName()} - {parameterKey} - {parameterValue}
\KFCK.Mcda\DeviceConnector.cs,读取参数-{parameterGroup.GetDisplayName()},Read parameter - {parameterGroup.GetDisplayName()}
\KFCK.Mcda\DeviceConnector.cs,发送命令-{controlCommand.GetDisplayName()}-{arg0}-{arg1},Send command - {controlCommand.GetDisplayName()} - {arg0} - {arg1}
\KFCK.Mcda\DeviceConnector.cs,无法将未知的参数组转化为参数。,Unable to convert unknown parameter group into parameters.
\KFCK.Mcda\MainForm.cs,"收到参数写入命令，参数组-{e.ReceivedData.ParameterGroup},参数名称：{MovementParameterNames[e.ReceivedData.ParameterIndex]}，参数值：{e.ReceivedData.ParameterValue}{NewLine}","Received parameter write command, parameter group - {e.ReceivedData.ParameterGroup}, parameter name: {MovementParameterNames[e.ReceivedData.ParameterIndex]}, parameter value: {e.ReceivedData.ParameterValue}{NewLine}"
\KFCK.Mcda\MainForm.cs,"收到控制命令：{e.ReceivedData.ControlCommand.GetDisplayName()},附加参数1：{e.ReceivedData.Arg0}，附加参数2：{e.ReceivedData.Arg1}，是否成功：{e.ReceivedData.Success}{NewLine}","Received control command: {e.ReceivedData.ControlCommand.GetDisplayName()}, additional parameter 1: {e.ReceivedData.Arg0}, additional parameter 2: {e.ReceivedData.Arg1}, success or failure: {e.ReceivedData.Success}{NewLine}"
\KFCK.Mcda\MainForm.cs,正在记录,Logging
\KFCK.Mcda\MainForm.cs,停止记录,Stop recording
\KFCK.Mcda\MainForm.cs,文件已保存是否打开？,The file has been saved. Do you want to open it?
\KFCK.Mcda\MainForm.cs,提示,hint
\KFCK.Mcda\MainForm.Designer.cs,连接,connect
\KFCK.Mcda\MainForm.Designer.cs,断开,disconnect
\KFCK.Mcda\MainForm.Designer.cs,发送控制命令,Send control commands
\KFCK.Mcda\MainForm.Designer.cs,设置参数,Setting parameters
\KFCK.Mcda\MainForm.Designer.cs,读取参数组,Read parameter group
\KFCK.Mcda\MainForm.Designer.cs,指定位写入状态,Specify the bit write status
\KFCK.Mcda\MainForm.Designer.cs,写入输出,Writing Output
\KFCK.Mcda\MainForm.Designer.cs,截获实时数据,Intercept real-time data
\KFCK.Mcda\MainForm.Designer.cs,截获慢速状态,Capture slow state
\KFCK.Mcda\MainForm.Designer.cs,截获快速状态,Intercept fast status
\KFCK.Mcda\MainForm.Designer.cs,快速,fast
\KFCK.Mcda\MainForm.Designer.cs,慢速,Slow
\KFCK.Mcda\MainForm.Designer.cs,实时,real time
\KFCK.Mcda\MainForm.Designer.cs,清除输出,Clear Output
\KFCK.Mcda\MainForm.Designer.cs,未连接,not connected
\KFCK.Mcda\MainForm.Designer.cs,采集实时数据,Collect real-time data
\KFCK.Mcda\MainForm.Designer.cs,停止采集,Stop collecting
\KFCK.Mcda\MainForm.Designer.cs,采集状态,Collection status
\KFCK.Mcda\MainForm.Designer.cs,转十六进制,Convert to hexadecimal
\KFCK.Mcda\MainForm.Designer.cs,转十进制,Convert to decimal
\KFCK.Mcda\MainForm.Designer.cs,连续输出,Continuous output
\KFCK.Mcda\MainForm.Designer.cs,转换信号值,Convert signal value
\KFCK.Mcda\MainForm.Designer.cs,设置参数,Setting parameters
\KFCK.Mcda\MainForm.Designer.cs,运动参数,Motion Parameters
\KFCK.Mcda\MainForm.Designer.cs,多架参数,Multiple rack parameters
\KFCK.NumPad\MainForm.Designer.cs,取值范围：,Ranges:
\KFCK.NumPad\Program.cs,微软雅黑,Microsoft YaHei
\KFCK.NumPad\Program.cs,微软雅黑,Microsoft YaHei
\KFCK.TGDAMC\DeviceConnector.cs,仅支持在设备断开连接时设置此参数！,This parameter is only supported when the device is disconnected!
\KFCK.TGDAMC\DeviceConnector.cs,读取参数数据包包含了未知的参数组。,The read parameter data packet contained an unknown parameter group.
\KFCK.TGDAMC\DeviceConnector.cs,收到了未知的协议命令：{StringTools.ToHexString(bytes)}。,Received unknown protocol command: {StringTools.ToHexString(bytes)}.
\KFCK.TGDAMC\DeviceConnector.cs,当前参数组于当前参数Key类型无法对应。,The current parameter group does not correspond to the current parameter Key type.
\KFCK.TGDAMC\DeviceConnector.cs,parameterKey超出合理范围。,parameterKey exceeds the valid range.
\KFCK.TGDAMC\DeviceConnector.cs,当前参数组需要对应byte类型的参数key。,The current parameter group needs to correspond to the parameter key of byte type.
